impl,dtype,d,seq,fwd_ms,bwd_ms,e2e_ms,ok,error,est_peak_gib,source
flash_pytorch,float32,128,4096,19106.830078125,19988.779296875,19058.07421875,True,,,main
flash_triton,float32,128,4096,0.5220212285814722,2.05746895358676,2.05722951359219,True,,0.547,triton_d128_patch
naive,float32,128,8192,3.8595169385274253,9.792972755432128,9.794723224639892,True,,,main
flash_pytorch,float32,128,8192,76192.4453125,75684.53125,76054.8359375,True,,,main
flash_triton,float32,128,8192,1.537367321677127,7.238050534174993,7.239507675170898,True,,2.094,triton_d128_patch
naive,bfloat16,16,128,0.10240602398268607,0.5340220291113508,0.5185751983895898,True,,,main
flash_pytorch,bfloat16,16,128,21.600624084472656,21.97433567047119,22.013976097106934,True,,,main
flash_triton,bfloat16,16,128,0.013033692329489172,0.4999845224657869,0.5042016204515117,True,,,main
naive,bfloat16,16,256,0.10743438388338152,0.5177583382888273,0.5210136407717115,True,,,main
flash_pytorch,bfloat16,16,256,83.82572937011719,84.33904266357422,84.86902618408203,True,,,main
flash_triton,bfloat16,16,256,0.0147818227024466,0.49987506050213126,0.5010934012010694,True,,,main
naive,bfloat16,16,512,0.10312884191475939,0.504521641211632,0.4995506179553491,True,,,main
flash_pytorch,bfloat16,16,512,331.1407470703125,337.2958068847656,336.54046630859375,True,,,main
flash_triton,bfloat16,16,512,0.01942488628193882,0.49776158835871,0.49440234245323555,True,,,main
naive,bfloat16,16,1024,0.10771374661459153,0.5007128201616116,0.49850951570161384,True,,,main
flash_pytorch,bfloat16,16,1024,1320.430908203125,1304.2027587890625,1306.4613037109375,True,,,main
flash_triton,bfloat16,16,1024,0.032159724469952244,0.5190347016647162,0.5122296725270115,True,,,main
naive,bfloat16,16,2048,0.1152573300169656,0.5037003795432436,0.49885999895632266,True,,,main
flash_pytorch,bfloat16,16,2048,5212.1044921875,5232.302734375,5260.0087890625,True,,,main
flash_triton,bfloat16,16,2048,0.049340520097503386,0.514695218855277,0.5164683827549029,True,,,main
naive,bfloat16,16,4096,0.4194396913051605,0.8523330713661623,0.8526244765461082,True,,,main
flash_pytorch,bfloat16,16,4096,20912.51171875,20685.87109375,20809.685546875,True,,,main
flash_triton,bfloat16,16,4096,0.09538484694326625,0.6142213125228881,0.6140270857360419,True,,,main
naive,bfloat16,16,8192,1.6408297142812185,3.0701367701253583,3.0689537986632316,True,,,main
flash_pytorch,bfloat16,16,8192,84285.1875,85983.0859375,109262.296875,True,,,main
flash_triton,bfloat16,16,8192,0.21318469800732354,2.217158873875936,2.056392723863775,True,,,main
naive,bfloat16,32,128,0.16049913127896606,0.48235591186417476,0.6725497645139694,True,,,main
flash_pytorch,bfloat16,32,128,27.952528476715088,30.609867095947266,31.188992182413738,True,,,main
flash_triton,bfloat16,32,128,0.03993555485131291,0.7503809025583341,0.7168458542272226,True,,,main
naive,bfloat16,32,256,0.1467638185678239,0.6729487998411059,0.6387997952443135,True,,,main
flash_pytorch,bfloat16,32,256,92.62271881103516,105.33369445800781,102.93292999267578,True,,,main
flash_triton,bfloat16,32,256,0.017796506282955975,0.835743745803833,0.5125126171952639,True,,,main
naive,bfloat16,32,512,0.10882379485564864,0.5763493992388249,0.5217775613432978,True,,,main
flash_pytorch,bfloat16,32,512,446.25531005859375,381.9443664550781,394.90496826171875,True,,,main
flash_triton,bfloat16,32,512,0.017083033388853072,0.6260069479202403,0.6534306927160783,True,,,main
naive,bfloat16,32,1024,0.1505517116873651,0.6673409231962302,0.6385304438080758,True,,,main
flash_pytorch,bfloat16,32,1024,1581.171875,1741.15234375,1728.929443359375,True,,,main
flash_triton,bfloat16,32,1024,0.04370969149827857,0.7757678149744521,0.7697311754552474,True,,,main
naive,bfloat16,32,2048,0.20865534489963486,0.6483960026188901,0.5959966060790148,True,,,main
flash_pytorch,bfloat16,32,2048,9697.7373046875,8068.45068359375,9318.6337890625,True,,,main
flash_triton,bfloat16,32,2048,0.12851678345774867,0.6552746574083964,0.9228580288092295,True,,,main
naive,bfloat16,32,4096,0.4191255691301757,0.9976489240160356,0.8245599980537708,True,,,main
flash_pytorch,bfloat16,32,4096,31815.46875,29293.53125,24371.09375,True,,,main
flash_triton,bfloat16,32,4096,0.07583848838674408,0.6536219314243017,0.7286997778075082,True,,,main
naive,bfloat16,32,8192,1.6475874291999,3.0467478613699637,3.042660128685736,True,,,main
flash_pytorch,bfloat16,32,8192,115834.7890625,91719.125,96908.484375,True,,,main
flash_triton,bfloat16,32,8192,0.2312656573327889,2.4057449593263516,2.2730840027332304,True,,,main
naive,bfloat16,64,128,0.15729262245198092,0.7839194166399267,0.8058082586334597,True,,,main
flash_pytorch,bfloat16,64,128,26.406314849853516,28.32180341084798,27.63268280029297,True,,,main
flash_triton,bfloat16,64,128,0.013903424156908418,0.7393103831269768,0.7833150607698104,True,,,main
naive,bfloat16,64,256,0.12959200018003844,0.640887059709605,0.5664911525267543,True,,,main
flash_pytorch,bfloat16,64,256,96.51200103759766,99.14486694335938,106.07389068603516,True,,,main
flash_triton,bfloat16,64,256,0.022823359771255637,0.7701593843790201,0.7652843788138821,True,,,main
naive,bfloat16,64,512,0.17356530694849162,0.6170487913074872,0.7602140341164931,True,,,main
